State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
MAHARASHTRA,NAGPUR,2026-08-28,19.47,LOW,4653570.0,906050,384,57,34.40198897830212,25.44,MEDIUM,1223
JAMMU AND KASHMIR,KATHUA,2026-08-19,36.68,MEDIUM,616435.0,226108,262,4,8.585138705265644,25.44,MEDIUM,1223
JHARKHAND,DUMKA,2026-08-30,31.76,MEDIUM,1321442.0,419690,302,4,15.935291379398068,25.43,MEDIUM,1224
MAHARASHTRA,RATNAGIRI,2026-09-03,30.09,MEDIUM,1615069.0,485974,409,18,18.45204148969858,25.43,MEDIUM,1224
MADHYA PRADESH,UJJAIN,2026-09-05,28.19,MEDIUM,1986864.0,560097,230,1,21.266432118293785,25.42,MEDIUM,1225
TAMIL NADU,TIRUVALLUR,2026-09-07,26.99,MEDIUM,2251744.0,607746,262,32,23.07562628288417,25.42,MEDIUM,1225
MADHYA PRADESH,TIKAMGARH,2026-09-03,31.02,MEDIUM,1445166.0,448290,222,2,17.021210351617526,25.42,MEDIUM,1225
CHHATTISGARH,KANKER,2026-08-30,31.19,MEDIUM,1413199.0,440777,262,2,16.73594779083834,25.41,MEDIUM,1226
WEST BENGAL,PURULIYA,2026-08-24,24.32,LOW,2930115.0,712604,543,19,27.05700011466697,25.41,MEDIUM,1226
UTTAR PRADESH,AYODHYA,2026-09-11,25.69,MEDIUM,2559297.0,657483,262,4,24.964100126285544,25.4,MEDIUM,1227
WEST BENGAL,KOLKATA,2026-08-24,19.8,LOW,4496694.0,890345,522,31,33.80568277345225,25.4,MEDIUM,1227
MADHYA PRADESH,SHAHDOL,2026-08-20,33.32,MEDIUM,1066063.0,355212,288,2,13.48711363496568,25.39,MEDIUM,1228
MADHYA PRADESH,RAJGARH,2026-08-26,30.41,MEDIUM,1545814.0,470082,220,2,17.848635045414955,25.39,MEDIUM,1228
MAHARASHTRA,MUMBAI CITY,2026-09-07,27.16,MEDIUM,2204307.0,598690,348,12,22.731777254477898,25.39,MEDIUM,1228
MADHYA PRADESH,RATLAM,2026-08-26,30.92,MEDIUM,1455069.0,449907,221,2,17.08260653966224,25.39,MEDIUM,1228
MADHYA PRADESH,MANDSAUR,2026-09-05,31.58,MEDIUM,1340411.0,423302,223,2,16.072436111134316,25.38,MEDIUM,1229
BIHAR,BHOJPUR,2026-08-27,25.02,MEDIUM,2728407.0,682647,295,1,25.91955694505933,25.38,MEDIUM,1229
UTTAR PRADESH,BAGHPAT,2026-08-26,31.79,MEDIUM,1303048.0,414239,262,4,15.728321298364213,25.37,MEDIUM,1230
BIHAR,MUZAFFARPUR,2026-08-19,19.09,LOW,4801062.0,916523,237,11,34.79964035578654,25.37,MEDIUM,1230
MADHYA PRADESH,NIMACH,2026-09-05,31.31,MEDIUM,1382506.0,432863,131,2,16.435459582931173,25.36,MEDIUM,1231
BIHAR,SHEIKHPURA,2026-09-11,36.4,MEDIUM,636342.0,231628,232,2,8.794728660742965,25.36,MEDIUM,1231
CHHATTISGARH,SURGUJA,2026-08-30,26.45,MEDIUM,2359886.0,624190,262,1,23.699991722715527,25.35,MEDIUM,1232
UTTARAKHAND,UDHAM SINGH NAGAR,2026-09-01,29.81,MEDIUM,1648902.0,491538,140,15,18.663302089748544,25.35,MEDIUM,1232
CHHATTISGARH,SURGUJA,2026-08-25,26.45,MEDIUM,2359886.0,624190,262,1,23.699991722715527,25.35,MEDIUM,1232
UTTAR PRADESH,JHANSI,2026-08-20,28.04,MEDIUM,1998603.0,560408,262,25,21.2782405378868,25.34,MEDIUM,1233
JHARKHAND,DUMKA,2026-09-02,31.63,MEDIUM,1321442.0,417972,302,4,15.870060302675236,25.33,MEDIUM,1234
BIHAR,MUZAFFARPUR,2026-08-24,19.06,LOW,4801062.0,915082,237,11,34.744926746032405,25.33,MEDIUM,1234
ANDAMAN & NICOBAR,SOUTH ANDAMAN,2026-08-22,29.73,MEDIUM,1648902.0,490219,27,4,18.61322072176402,25.28,MEDIUM,1235
UTTAR PRADESH,KANNAUJ,2026-08-22,29.67,MEDIUM,1656616.0,491518,262,3,18.66254270585189,25.27,MEDIUM,1236
CHHATTISGARH,KANKER,2026-08-31,31.02,MEDIUM,1413199.0,438374,262,2,16.644707815655003,25.27,MEDIUM,1236
MADHYA PRADESH,SHAJAPUR,2026-09-04,30.45,MEDIUM,1512681.0,460611,219,1,17.489028801153047,25.27,MEDIUM,1236
ASSAM,SIBSAGAR,2026-09-07,33.54,MEDIUM,1008183.0,338145,225,4,12.839093386753458,25.26,MEDIUM,1237
GUJARAT,RAJKOT,2026-08-21,21.45,LOW,3804558.0,816078,531,11,30.9858245808011,25.26,MEDIUM,1237
MADHYA PRADESH,SHAHDOL,2026-09-01,33.15,MEDIUM,1066063.0,353400,288,2,13.41831345392856,25.26,MEDIUM,1237
UTTAR PRADESH,MIRZAPUR,2026-09-10,25.79,MEDIUM,2496970.0,643969,262,4,24.45098442731443,25.25,MEDIUM,1238
HIMACHAL PRADESH,MANDI,2026-08-22,33.58,MEDIUM,999777.0,335725,262,22,12.747207935257968,25.25,MEDIUM,1238
BIHAR,LAKHISARAI,2026-08-30,33.57,MEDIUM,1000912.0,336006,232,1,12.757877279005998,25.25,MEDIUM,1238
MADHYA PRADESH,ANUPPUR,2026-08-19,35.36,MEDIUM,749237.0,264930,180,2,10.059178787066475,25.24,MEDIUM,1239
UTTAR PRADESH,SAMBHAL,2026-09-07,25.53,MEDIUM,2559297.0,653389,262,4,24.80865424263986,25.24,MEDIUM,1239
JHARKHAND,GIRIDIH,2026-09-10,25.98,MEDIUM,2445474.0,635334,181,1,24.123120429932783,25.24,MEDIUM,1239
MAHARASHTRA,PUNE,2026-08-21,12.42,LOW,9429408.0,1171132,529,175,44.4669390829832,25.24,MEDIUM,1239
BIHAR,SAHARSA,2026-09-10,28.39,MEDIUM,1900661.0,539598,165,2,20.48810159341523,25.23,MEDIUM,1240
MADHYA PRADESH,SHEOPUR,2026-09-04,35.82,MEDIUM,687861.0,246392,117,14,9.355305853255135,25.23,MEDIUM,1240
UTTARAKHAND,BAGESHWAR,2026-09-01,39.46,MEDIUM,259898.0,102556,88,1,3.893968745277581,25.23,MEDIUM,1240
KERALA,KOLLAM,2026-08-26,25.21,MEDIUM,2635375.0,664378,288,196,25.22589772465803,25.22,MEDIUM,1241
MADHYA PRADESH,MANDLA,2026-08-22,33.18,MEDIUM,1054905.0,350017,338,3,13.289863667809032,25.22,MEDIUM,1241
ANDHRA PRADESH,GUNTUR,2026-08-20,18.78,LOW,4887813.0,917931,648,125,34.853100982111194,25.21,MEDIUM,1242
MADHYA PRADESH,MORENA,2026-08-27,28.04,MEDIUM,1965970.0,551258,229,1,20.930822405166243,25.2,MEDIUM,1243
TELANGANA,M. MALKAJGIRI,2026-08-23,29.63,MEDIUM,1648902.0,488570,680,4,18.55060951948465,25.2,MEDIUM,1243
CHHATTISGARH,GARIABAND,2026-08-31,30.92,MEDIUM,1413199.0,436961,262,2,16.591057343356187,25.19,MEDIUM,1244
TAMIL NADU,TIRUVALLUR,2026-08-25,26.74,MEDIUM,2251744.0,602116,262,32,22.861859715975235,25.19,MEDIUM,1244
MIZORAM,SAIHA,2026-09-07,41.39,MEDIUM,56574.0,23416,262,2,0.8890866662059738,25.19,MEDIUM,1244
KARNATAKA,HASSAN,2026-08-29,28.95,MEDIUM,1776421.0,514274,558,28,19.526569703468184,25.18,MEDIUM,1245
KERALA,TRISHUR,2026-08-24,25.38,MEDIUM,2579189.0,654598,432,212,24.854558999192776,25.17,MEDIUM,1246
BIHAR,NALANDA,2026-08-19,24.26,LOW,2877653.0,698119,448,6,26.50701632751316,25.16,MEDIUM,1247
TAMIL NADU,VIRUDHUNAGAR,2026-09-05,28.11,MEDIUM,1942288.0,545977,262,32,20.73030708725397,25.16,MEDIUM,1247
KARNATAKA,TUMKUR,2026-08-31,24.99,LOW,2678980.0,669477,300,33,25.41950264911073,25.16,MEDIUM,1247
MIZORAM,LAWNGTLAI,2026-08-22,40.71,MEDIUM,117894.0,47995,262,2,1.8223315060025496,25.15,MEDIUM,1248
MIZORAM,SAIHA,2026-09-03,41.32,MEDIUM,56574.0,23376,262,2,0.8875678984126598,25.15,MEDIUM,1248
MADHYA PRADESH,SEHORE,2026-09-05,31.46,MEDIUM,1311332.0,412545,198,1,15.664001482317364,25.14,MEDIUM,1249
TAMIL NADU,MAYILADUTHURAI,2026-08-24,26.69,MEDIUM,2251744.0,600990,262,32,22.819106402593448,25.14,MEDIUM,1249
WEST BENGAL,ALIPURDUAR,2026-09-05,21.14,LOW,3872846.0,818720,522,9,31.08613919354949,25.12,MEDIUM,1250
CHHATTISGARH,SUKMA,2026-09-11,30.84,MEDIUM,1413199.0,435831,262,2,16.54815215319507,25.12,MEDIUM,1250
MADHYA PRADESH,SINGRAULI,2026-09-01,32.25,MEDIUM,1178273.0,379993,225,1,14.42802825211849,25.12,MEDIUM,1250
UTTAR PRADESH,SHAHJAHANPUR,2026-08-25,23.76,LOW,3006538.0,714353,262,4,27.12340823642962,25.11,MEDIUM,1251
WEST BENGAL,BIRBHUM,2026-08-26,22.18,LOW,3502404.0,776833,522,2,29.495723529585977,25.11,MEDIUM,1251
BIHAR,LAKHISARAI,2026-08-24,33.37,MEDIUM,1000912.0,334004,232,1,12.681862950950634,25.09,MEDIUM,1252
UTTAR PRADESH,MAINPURI,2026-08-27,28.38,MEDIUM,1868529.0,530289,262,1,20.13464635871625,25.08,MEDIUM,1253
CHHATTISGARH,BALODA BAZAR,2026-09-01,30.79,MEDIUM,1413199.0,435124,262,2,16.521307932448245,25.08,MEDIUM,1253
PUNJAB,MANSA,2026-08-21,34.98,MEDIUM,769751.0,269259,93,9,10.223547431497876,25.08,MEDIUM,1253
UTTAR PRADESH,HAMIRPUR,2026-08-21,32.66,MEDIUM,1104285.0,360659,262,4,13.693931839220202,25.07,MEDIUM,1254
BIHAR,BEGUSARAI,2026-08-19,23.85,LOW,2970541.0,708474,228,2,26.900187340007303,25.07,MEDIUM,1254
MADHYA PRADESH,CHHATARPUR,2026-08-25,28.89,MEDIUM,1762375.0,509150,281,2,19.332015549144668,25.07,MEDIUM,1254
TRIPURA,KHOWAI,2026-08-29,34.85,MEDIUM,784974.0,273563,26,4,10.386966846058456,25.06,MEDIUM,1255
ASSAM,MAJULI,2026-08-23,33.27,MEDIUM,1008183.0,335422,141,4,12.735703269223611,25.06,MEDIUM,1255
MADHYA PRADESH,MORENA,2026-08-26,27.89,MEDIUM,1965970.0,548309,229,1,20.81885124960417,25.06,MEDIUM,1255
UTTAR PRADESH,SHRAWASTI,2026-08-25,32.54,MEDIUM,1117361.0,363589,262,2,13.80518158008045,25.05,MEDIUM,1256
HARYANA,AMBALA,2026-08-23,32.48,MEDIUM,1128350.0,366488,98,8,13.915254275900876,25.05,MEDIUM,1256
ANDHRA PRADESH,KRISHNA,2026-09-07,19.48,LOW,4517398.0,879989,847,73,33.41247379176326,25.05,MEDIUM,1256
TAMIL NADU,KANYAKUMARI,2026-08-27,26.59,MEDIUM,2251744.0,598739,262,32,22.73363774502471,25.05,MEDIUM,1256
UTTAR PRADESH,HAPUR,2026-09-06,25.33,MEDIUM,2559297.0,648270,262,4,24.61428993429051,25.04,MEDIUM,1257
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,2026-08-25,20.59,LOW,4053463.0,834608,640,40,31.68939376105378,25.03,MEDIUM,1258
UTTAR PRADESH,BARABANKI,2026-08-27,25.32,MEDIUM,2559297.0,648014,262,4,24.604569820413303,25.03,MEDIUM,1258
HIMACHAL PRADESH,KANGRA,2026-08-29,30.17,MEDIUM,1510075.0,455590,262,78,17.29838547389732,25.02,MEDIUM,1259
CHHATTISGARH,JANJGIR_CHAMPA,2026-08-24,30.7,MEDIUM,1413199.0,433852,262,2,16.473011116620864,25.01,MEDIUM,1260
MIZORAM,AIZAWL,2026-09-09,37.85,MEDIUM,400309.0,151517,262,2,5.752978493488663,25.01,MEDIUM,1260
ASSAM,GOLAGHAT,2026-08-29,32.81,MEDIUM,1066888.0,350046,153,3,13.290964774459184,25.0,MEDIUM,1261
ASSAM,MORIGAON,2026-09-07,33.54,MEDIUM,957423.0,321120,116,4,12.192667844724218,25.0,MEDIUM,1261
ASSAM,N.C HILLS,2026-08-20,33.19,MEDIUM,1008183.0,334616,141,4,12.705100098188336,25.0,MEDIUM,1261
JHARKHAND,GIRIDIH,2026-08-25,25.74,MEDIUM,2445474.0,629465,181,1,23.9002792254588,25.0,MEDIUM,1261
TAMIL NADU,KANCHIPURAM,2026-09-03,26.54,MEDIUM,2251744.0,597613,262,32,22.69088443164292,25.0,MEDIUM,1261
MADHYA PRADESH,NARMADAPURAM,2026-09-04,30.86,MEDIUM,1382506.0,426641,220,2,16.199215252681196,25.0,MEDIUM,1261
UTTAR PRADESH,LALITPUR,2026-09-05,31.81,MEDIUM,1221592.0,388588,262,4,14.754373481706825,24.99,LOW,1262
JHARKHAND,RAMGARH,2026-09-02,33.56,MEDIUM,949443.0,318633,144,3,12.098238457174924,24.98,LOW,1263
UTTAR PRADESH,RAMPUR,2026-09-01,26.16,MEDIUM,2335819.0,611050,262,4,23.2010765026119,24.98,LOW,1263
WEST BENGAL,MALDA,2026-09-03,21.02,LOW,3872846.0,814072,522,9,30.90965837596641,24.98,LOW,1263
UTTAR PRADESH,AMETHI,2026-08-31,25.26,MEDIUM,2559297.0,646478,262,4,24.54624913715005,24.97,LOW,1264
JHARKHAND,DEOGHAR,2026-08-30,30.21,MEDIUM,1492073.0,450755,190,1,17.114804416880496,24.97,LOW,1264
UTTARAKHAND,UDHAM SINGH NAGAR,2026-08-30,29.36,MEDIUM,1648902.0,484118,140,15,18.38157066408881,24.97,LOW,1264
UTTAR PRADESH,HAMIRPUR,2026-09-04,32.53,MEDIUM,1104285.0,359224,262,4,13.639446044635068,24.97,LOW,1264
HARYANA,AMBALA,2026-09-05,32.36,MEDIUM,1128350.0,365134,98,8,13.8638439860972,24.96,LOW,1265
JHARKHAND,EAST SINGHBHUM,2026-08-28,31.21,MEDIUM,1313551.0,409959,144,3,15.56581314447962,24.95,LOW,1266
ODISHA,RAYAGARHA,2026-08-24,29.33,MEDIUM,1648902.0,483623,262,4,18.36277591264655,24.94,LOW,1267
MIZORAM,LUNGLEI,2026-08-28,39.94,MEDIUM,161428.0,64474,262,2,2.448025867653056,24.94,LOW,1267
JHARKHAND,GODDA,2026-09-03,31.2,MEDIUM,1313551.0,409828,144,3,15.560839179956517,24.94,LOW,1267
CHHATTISGARH,BALODA BAZAR,2026-08-25,30.6,MEDIUM,1413199.0,432439,262,2,16.419360644322047,24.93,LOW,1268
ANDHRA PRADESH,ANAKAPALLI,2026-09-06,20.5,LOW,4053463.0,830960,640,40,31.550882138303557,24.92,LOW,1269
JHARKHAND,DEOGHAR,2026-09-07,30.14,MEDIUM,1492073.0,449711,190,1,17.075164577475004,24.91,LOW,1270
WEST BENGAL,DAKSHIN DINAJPUR,2026-08-29,29.15,MEDIUM,1676276.0,488634,522,2,18.553039547953954,24.91,LOW,1270
UTTAR PRADESH,PILHIBHIT,2026-08-25,25.19,MEDIUM,2559297.0,644687,262,4,24.478246309204412,24.91,LOW,1270
UTTAR PRADESH,ETAWAH,2026-08-24,29.64,MEDIUM,1581810.0,468848,262,1,17.80178105899122,24.9,LOW,1271
MADHYA PRADESH,GUNA,2026-09-06,31.57,MEDIUM,1241519.0,391948,193,2,14.88194997634519,24.89,LOW,1272
KARNATAKA,BELLARY,2026-08-19,25.58,MEDIUM,2452595.0,627374,311,12,23.82088563906332,24.88,LOW,1273
CHHATTISGARH,MUNGELI,2026-08-24,30.54,MEDIUM,1413199.0,431591,262,2,16.387162767103796,24.88,LOW,1273
ASSAM,N.C HILLS,2026-08-29,33.02,MEDIUM,1008183.0,332902,141,4,12.640020898244837,24.87,LOW,1274
MADHYA PRADESH,GUNA,2026-09-05,31.52,MEDIUM,1241519.0,391327,193,2,14.858371106353992,24.86,LOW,1275
MIZORAM,SERCHHIP,2026-09-08,40.76,MEDIUM,64937.0,26468,262,2,1.0049686488358265,24.86,LOW,1275
CHHATTISGARH,KORBA,2026-08-30,31.74,MEDIUM,1206640.0,382988,262,2,14.541745990642871,24.86,LOW,1275
MADHYA PRADESH,SHIVPURI,2026-08-29,28.82,MEDIUM,1726050.0,497448,267,2,18.88770003121068,24.85,LOW,1276
TELANGANA,MULUGU,2026-08-24,29.22,MEDIUM,1648902.0,481809,680,4,18.293899793219765,24.85,LOW,1276
MAHARASHTRA,PUNE,2026-09-04,12.23,LOW,9429408.0,1153217,529,175,43.78672095755272,24.85,LOW,1276
MADHYA PRADESH,SIDHI,2026-08-31,32.21,MEDIUM,1127033.0,363017,215,2,13.78346320063606,24.84,LOW,1277
TRIPURA,NORTH TRIPURA,2026-09-01,35.21,MEDIUM,693947.0,244339,24,4,9.2773550962633,24.84,LOW,1277
MAHARASHTRA,YAVATMAL,2026-08-30,24.32,LOW,2772348.0,674235,513,14,25.600160078125416,24.83,LOW,1278
PUNJAB,FIROZPUR,2026-08-21,27.34,MEDIUM,2029074.0,554749,172,42,21.063372864327714,24.83,LOW,1278
CHHATTISGARH,MAHASAMUND,2026-08-24,32.79,MEDIUM,1032754.0,338640,262,2,12.85788813819572,24.82,LOW,1279
PUNJAB,TARN TARAN,2026-08-21,32.23,MEDIUM,1119627.0,360856,108,4,13.701411770602276,24.82,LOW,1279
MADHYA PRADESH,CHHATARPUR,2026-09-11,28.61,MEDIUM,1762375.0,504215,281,2,19.14463757264456,24.82,LOW,1279
ASSAM,CACHAR,2026-08-29,28.74,MEDIUM,1736617.0,499104,176,22,18.950577017853877,24.82,LOW,1279
BIHAR,ARWAL,2026-08-29,35.14,MEDIUM,700843.0,246276,98,1,9.350901426654527,24.82,LOW,1279
BIHAR,PATNA,2026-08-25,16.69,LOW,5838465.0,974440,309,39,36.99870221292061,24.81,LOW,1280
HIMACHAL PRADESH,SHIMLA,2026-08-19,34.29,MEDIUM,814010.0,279124,262,23,10.598113538523926,24.81,LOW,1280
UTTARAKHAND,UDHAM SINGH NAGAR,2026-08-31,29.17,MEDIUM,1648902.0,480985,140,15,18.262613176677498,24.81,LOW,1280
TAMIL NADU,CHENGALPATTU,2026-08-22,26.34,MEDIUM,2251744.0,593109,262,32,22.51987117811577,24.81,LOW,1280
ODISHA,KALAHANDI,2026-08-30,29.17,MEDIUM,1648902.0,480985,262,4,18.262613176677498,24.81,LOW,1280
MADHYA PRADESH,BHIND,2026-08-22,28.88,MEDIUM,1703005.0,491828,230,2,18.674313156250072,24.8,LOW,1281
ASSAM,DHUBRI,2026-08-26,27.67,MEDIUM,1949258.0,539360,220,4,20.47906492504501,24.79,LOW,1282
ANDHRA PRADESH,WEST GODAVARI,2026-08-29,20.68,LOW,3936966.0,814165,815,39,30.913189511085864,24.77,LOW,1283
UTTAR PRADESH,AMBEDKARNAGAR,2026-08-30,25.04,MEDIUM,2559297.0,640848,262,4,24.332482570241112,24.76,LOW,1284
MAHARASHTRA,GONDIYA,2026-09-03,30.92,MEDIUM,1322507.0,408919,297,3,15.526325181853458,24.76,LOW,1284
ODISHA,RAYAGARHA,2026-08-25,29.11,MEDIUM,1648902.0,479995,262,4,18.22502367379298,24.76,LOW,1284
CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,2026-08-30,30.37,MEDIUM,1413199.0,429189,262,2,16.295960761115293,24.74,LOW,1285
TELANGANA,SANGAREDDY,2026-08-24,29.09,MEDIUM,1648902.0,479666,680,4,18.21253180869297,24.74,LOW,1285
WEST BENGAL,JALPAIGURI,2026-09-08,20.82,LOW,3872846.0,806327,439,12,30.615586961986,24.74,LOW,1285
UTTAR PRADESH,KAUSHAMBI,2026-08-28,29.35,MEDIUM,1599596.0,469481,262,2,17.82581555932041,24.74,LOW,1285
NAGALAND,WOKHA,2026-08-24,39.55,MEDIUM,166343.0,65789,262,2,2.4979553588582517,24.73,LOW,1286
UTTAR PRADESH,HAMIRPUR,2026-08-25,32.21,MEDIUM,1104285.0,355690,262,4,13.50526291009578,24.73,LOW,1286
UTTAR PRADESH,HAMIRPUR,2026-08-31,32.19,MEDIUM,1104285.0,355469,262,4,13.496871718037722,24.71,LOW,1287
NAGALAND,KOHIMA,2026-09-05,38.56,MEDIUM,267988.0,103336,262,6,3.923584717247203,24.71,LOW,1287
CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,2026-08-25,30.32,MEDIUM,1413199.0,428482,262,2,16.26911654036847,24.7,LOW,1288
CHHATTISGARH,KOREA,2026-08-31,30.32,MEDIUM,1413199.0,428482,262,2,16.26911654036847,24.7,LOW,1288
ASSAM,HOJAI,2026-09-02,32.79,MEDIUM,1008183.0,330583,141,4,12.551970335427464,24.69,LOW,1289
HIMACHAL PRADESH,SIRMAUR,2026-09-02,36.29,MEDIUM,529855.0,192284,262,1,7.300868659239386,24.69,LOW,1289
ODISHA,KENDUJHAR,2026-09-10,29.02,MEDIUM,1648902.0,478511,262,1,18.16867738866103,24.68,LOW,1290
MADHYA PRADESH,VIDESHA,2026-09-05,30.45,MEDIUM,1382506.0,420973,229,2,15.984005856368611,24.66,LOW,1291
TELANGANA,RAJANNA SIRCILLA,2026-08-23,29.0,MEDIUM,1648902.0,478182,680,4,18.156185523561025,24.66,LOW,1291
KERALA,KASARGOD,2026-08-23,24.86,LOW,2579189.0,641186,267,212,24.34531615809461,24.65,LOW,1292
MAHARASHTRA,PUNE,2026-09-08,12.13,LOW,9429408.0,1143787,529,175,43.42867145027896,24.65,LOW,1292
ASSAM,DARRANG,2026-08-28,33.22,MEDIUM,928500.0,308448,122,2,11.711522207802366,24.62,LOW,1293
JHARKHAND,WEST SINGHBHUM,2026-09-01,30.79,MEDIUM,1313551.0,404442,144,3,15.356337096586795,24.62,LOW,1293
ODISHA,CUTTACK,2026-08-30,28.94,MEDIUM,1648902.0,477192,262,20,18.118596020676502,24.61,LOW,1294
MADHYA PRADESH,KATNI,2026-08-29,30.91,MEDIUM,1292042.0,399370,197,2,15.16375734039459,24.61,LOW,1294
BIHAR,ROHTAS,2026-08-28,23.44,LOW,2959918.0,693805,290,9,26.343217221004256,24.6,LOW,1295
MAHARASHTRA,BID,2026-09-05,24.78,LOW,2585049.0,640575,355,1,24.322116980051742,24.6,LOW,1295
CHHATTISGARH,SURAJPUR,2026-08-24,30.2,MEDIUM,1413199.0,426786,262,2,16.204720785931958,24.6,LOW,1295
MADHYA PRADESH,NARSHIMAPURA,2026-09-05,30.37,MEDIUM,1382506.0,419867,168,2,15.94201192688348,24.6,LOW,1295
JHARKHAND,DEOGHAR,2026-08-31,29.75,MEDIUM,1492073.0,443892,190,1,16.85422183274266,24.59,LOW,1296
GUJARAT,SURAT,2026-09-03,16.14,LOW,6081322.0,981525,401,5,37.26771395831135,24.59,LOW,1296
MADHYA PRADESH,NIWARI,2026-08-23,30.36,MEDIUM,1382506.0,419729,220,2,15.936772177996549,24.59,LOW,1296
CHHATTISGARH,MUNGELI,2026-09-03,30.19,MEDIUM,1413199.0,426645,262,2,16.199367129460526,24.59,LOW,1296
MADHYA PRADESH,MANDLA,2026-08-23,32.34,MEDIUM,1054905.0,341156,338,3,12.953418632395165,24.59,LOW,1296
UTTAR PRADESH,KAUSHAMBI,2026-08-20,29.15,MEDIUM,1599596.0,466282,262,2,17.70435210505013,24.57,LOW,1297
ODISHA,NUAPARHA,2026-08-19,28.89,MEDIUM,1648902.0,476368,262,4,18.08730940413424,24.57,LOW,1297
CHHATTISGARH,MOHALA-MANPUR-CHOWKI,2026-09-11,30.15,MEDIUM,1413199.0,426079,262,2,16.177876565185134,24.56,LOW,1298
KERALA,WAYANAD,2026-08-26,33.91,MEDIUM,817420.0,277187,187,59,10.524567208132698,24.56,LOW,1298
TRIPURA,NORTH TRIPURA,2026-08-29,34.81,MEDIUM,693947.0,241563,24,4,9.171952611407312,24.55,LOW,1299
BIHAR,LAKHISARAI,2026-09-06,32.65,MEDIUM,1000912.0,326798,232,1,12.40825693298513,24.55,LOW,1299
UTTAR PRADESH,KANNAUJ,2026-09-11,28.83,MEDIUM,1656616.0,477602,262,3,18.134163390557973,24.55,LOW,1299
MAHARASHTRA,THANE,2026-08-22,10.77,LOW,11060148.0,1191178,624,73,45.22806956260247,24.55,LOW,1299
MAHARASHTRA,THANE,2026-08-19,10.77,LOW,11060148.0,1191178,624,73,45.22806956260247,24.55,LOW,1299
MADHYA PRADESH,JABALPUR,2026-08-27,25.2,MEDIUM,2463289.0,620749,190,3,23.56933972329569,24.55,LOW,1299
CHHATTISGARH,RAJNANDGAON,2026-09-11,29.44,MEDIUM,1537133.0,452532,262,1,17.18227567609847,24.54,LOW,1300
UTTAR PRADESH,BARABANKI,2026-09-01,24.82,LOW,2559297.0,635218,262,4,24.118716003332175,24.54,LOW,1300
PUDUCHERRY,KARAIKAL,2026-08-21,28.86,MEDIUM,1648902.0,475873,262,4,18.068514652691977,24.54,LOW,1300
BIHAR,PATNA,2026-09-11,16.5,LOW,5838465.0,963347,309,39,36.57750993463983,24.53,LOW,1301
CHHATTISGARH,SURGUJA,2026-08-31,25.59,MEDIUM,2359886.0,603895,262,1,22.929406913582877,24.53,LOW,1301
UTTAR PRADESH,ETAH,2026-09-04,28.2,MEDIUM,1774480.0,500403,262,2,18.999899001941746,24.52,LOW,1302
KARNATAKA,BELLARY,2026-09-01,25.21,MEDIUM,2452595.0,618299,311,12,23.476315195955216,24.52,LOW,1302
MAHARASHTRA,THANE,2026-08-20,10.75,LOW,11060148.0,1188966,624,73,45.14408170363221,24.51,LOW,1303
SIKKIM,SORENG,2026-09-09,28.82,MEDIUM,1648902.0,475214,262,4,18.04349295329713,24.51,LOW,1303
ASSAM,KARBI ANALOG,2026-08-19,32.55,MEDIUM,1008183.0,328164,54,4,12.4601228531268,24.51,LOW,1303
MADHYA PRADESH,GUNA,2026-08-28,31.07,MEDIUM,1241519.0,385740,193,2,14.646237214822868,24.5,LOW,1304
MADHYA PRADESH,INDORE,2026-09-04,22.32,LOW,3276697.0,731359,156,228,27.76911236375704,24.5,LOW,1304
ASSAM,WEST KARBI ANGLONG,2026-08-29,32.5,MEDIUM,1008183.0,327659,141,4,12.440948409736214,24.48,LOW,1305
CHHATTISGARH,DANTEWARA,2026-09-11,30.05,MEDIUM,1413199.0,424666,262,2,16.12422609288632,24.48,LOW,1305
ASSAM,TINSUKIA,2026-08-28,30.54,MEDIUM,1327929.0,405550,119,22,15.398406964461593,24.48,LOW,1305
HIMACHAL PRADESH,SIRMAUR,2026-09-03,35.97,MEDIUM,529855.0,190589,262,1,7.236510873997708,24.48,LOW,1305
KERALA,PATTANAMITTIA,2026-08-24,24.66,LOW,2579189.0,636028,225,212,24.149471051146783,24.46,LOW,1306
TAMIL NADU,TENKASI,2026-08-26,25.96,MEDIUM,2251744.0,584553,262,32,22.195006747125923,24.45,LOW,1307
ODISHA,GAJAPATHI,2026-08-25,28.75,MEDIUM,1648902.0,474059,262,4,17.99963853326519,24.45,LOW,1307
ASSAM,KARBI ANALOG,2026-08-27,32.47,MEDIUM,1008183.0,327357,54,4,12.429481712896692,24.45,LOW,1307
TAMIL NADU,VIRUDHUNAGAR,2026-09-07,27.32,MEDIUM,1942288.0,530633,262,32,20.147707761738744,24.45,LOW,1307
ODISHA,BAUDA,2026-08-25,28.75,MEDIUM,1648902.0,474059,262,4,17.99963853326519,24.45,LOW,1307
ODISHA,BARAGARH,2026-08-25,28.75,MEDIUM,1648902.0,474059,262,4,17.99963853326519,24.45,LOW,1307
