State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
BIHAR,PURNIA,2026-09-01,36.92,MEDIUM,3264619.0,1205297,191,1,45.76415662444745,40.46,MEDIUM,289
UTTAR PRADESH,BAREILLY,2026-09-02,31.67,MEDIUM,4448359.0,1408795,262,1,53.4908118345424,40.4,MEDIUM,290
BIHAR,BHAGALPUR,2026-08-27,38.03,MEDIUM,3037766.0,1155262,285,1,43.864367960985895,40.36,MEDIUM,291
UTTAR PRADESH,MIRZAPUR,2026-08-25,41.2,MEDIUM,2496970.0,1028752,262,4,39.060885122682265,40.34,MEDIUM,292
WEST BENGAL,NADIA,2026-09-10,29.13,MEDIUM,5167600.0,1505322,466,9,57.155864304172745,40.34,MEDIUM,292
WEST BENGAL,KALIMPONG,2026-09-01,33.94,MEDIUM,3872846.0,1314444,522,9,49.90838033286833,40.33,MEDIUM,293
JHARKHAND,JAMTARA,2026-09-02,56.0,HIGH,791042.0,442984,144,3,16.819745803834433,40.33,MEDIUM,293
UTTAR PRADESH,AZAMGARH,2026-09-03,31.0,MEDIUM,4613913.0,1430313,262,4,54.30783296895563,40.32,MEDIUM,294
UTTAR PRADESH,FATEHPUR,2026-09-01,40.3,MEDIUM,2632733.0,1060991,262,4,40.28497399489846,40.29,MEDIUM,295
MADHYA PRADESH,SATNA,2026-08-29,42.93,MEDIUM,2228935.0,956882,367,1,36.33203909004546,40.29,MEDIUM,295
BIHAR,NALANDA,2026-09-02,38.79,MEDIUM,2877653.0,1116242,448,6,42.38280997860816,40.23,MEDIUM,296
ASSAM,BISWANATH,2026-08-29,53.33,HIGH,1008183.0,537664,141,4,20.4146691706085,40.16,MEDIUM,297
UTTAR PRADESH,SITAPUR,2026-09-08,31.35,MEDIUM,4483992.0,1405731,262,4,53.37447422157455,40.16,MEDIUM,297
ASSAM,NAGAON,2026-08-26,39.01,MEDIUM,2823768.0,1101552,369,9,41.82504250651362,40.14,MEDIUM,298
ASSAM,NALBARI,2026-08-19,55.94,HIGH,771639.0,431655,141,4,16.389592795573098,40.12,MEDIUM,299
UTTAR PRADESH,HARDOI,2026-08-27,32.79,MEDIUM,4092845.0,1342044,262,4,50.95633011025495,40.06,MEDIUM,300
UTTAR PRADESH,BIJNOR,2026-08-23,34.54,MEDIUM,3682713.0,1272009,262,3,48.29715755013642,40.04,MEDIUM,301
UTTAR PRADESH,JALAUN,2026-08-26,46.72,MEDIUM,1689974.0,789556,262,4,29.978805595444303,40.02,MEDIUM,302
BIHAR,SARAN,2026-09-09,33.32,MEDIUM,3951862.0,1316760,262,2,49.99631698810121,39.99,MEDIUM,303
UTTAR PRADESH,AZAMGARH,2026-09-11,30.73,MEDIUM,4613913.0,1417855,262,4,53.834812739728,39.97,MEDIUM,304
MAHARASHTRA,PUNE,2026-08-23,19.67,LOW,9429408.0,1854765,529,175,70.42393365414772,39.97,MEDIUM,304
UTTAR PRADESH,PRATAPGARH,2026-08-31,36.74,MEDIUM,3209141.0,1179038,262,4,44.76712353733169,39.95,MEDIUM,305
WEST BENGAL,KOLKATA,2026-09-08,31.12,MEDIUM,4496694.0,1399371,522,31,53.13299014243764,39.93,MEDIUM,306
UTTAR PRADESH,BIJNOR,2026-08-27,34.43,MEDIUM,3682713.0,1267958,262,3,48.14334434186856,39.92,MEDIUM,307
WEST BENGAL,MURSIDABAD,2026-09-09,33.56,MEDIUM,3872846.0,1299727,522,9,49.34958769251331,39.88,MEDIUM,308
ASSAM,CHARAIDEO,2026-08-25,52.92,HIGH,1008183.0,533530,141,4,20.257704519169508,39.86,MEDIUM,309
MADHYA PRADESH,CHHATARPUR,2026-09-03,45.94,MEDIUM,1762375.0,809635,281,2,30.741189058493063,39.86,MEDIUM,309
BIHAR,MUZAFFARPUR,2026-09-07,29.95,MEDIUM,4801062.0,1437918,237,11,54.59658869565944,39.81,MEDIUM,310
MAHARASHTRA,THANE,2026-09-03,17.45,LOW,11060148.0,1929996,624,73,73.28039415061772,39.78,MEDIUM,311
ASSAM,BISWANATH,2026-09-03,52.82,HIGH,1008183.0,532522,141,4,20.219431570778,39.78,MEDIUM,311
ASSAM,CACHAR,2026-09-06,45.99,MEDIUM,1736617.0,798670,176,22,30.32485683715088,39.72,MEDIUM,312
ASSAM,NAGAON,2026-09-02,38.6,MEDIUM,2823768.0,1089974,369,9,41.3854351687389,39.71,MEDIUM,313
BIHAR,AURANGABAD,2026-08-29,40.27,MEDIUM,2540073.0,1022887,307,2,38.83819579498761,39.7,MEDIUM,314
JHARKHAND,BOKARO,2026-09-01,43.44,MEDIUM,2062330.0,895876,122,3,34.01569039007273,39.67,MEDIUM,315
UTTAR PRADESH,FATEHPUR,2026-08-20,39.68,MEDIUM,2632733.0,1044668,262,4,39.66520282764188,39.67,MEDIUM,315
ASSAM,GOLAGHAT,2026-09-02,52.06,HIGH,1066888.0,555422,153,3,21.08892613245022,39.67,MEDIUM,315
UTTAR PRADESH,GONDA,2026-09-08,35.35,MEDIUM,3433919.0,1213890,262,4,46.09042591564612,39.65,MEDIUM,316
WEST BENGAL,BIRBHUM,2026-08-19,35.03,MEDIUM,3502404.0,1226892,522,2,46.584101386862805,39.65,MEDIUM,316
UTTAR PRADESH,BAREILLY,2026-08-22,31.07,MEDIUM,4448359.0,1382105,262,1,52.47741402445369,39.63,MEDIUM,317
KERALA,KASARGOD,2026-08-25,39.96,MEDIUM,2579189.0,1030644,267,212,39.13272283930602,39.63,MEDIUM,317
BIHAR,NALANDA,2026-08-27,38.2,MEDIUM,2877653.0,1099263,448,6,41.73813101954123,39.62,MEDIUM,318
WEST BENGAL,KALIMPONG,2026-09-02,33.33,MEDIUM,3872846.0,1290820,522,9,49.01139607413713,39.6,MEDIUM,319
UTTAR PRADESH,SITAPUR,2026-09-11,30.91,MEDIUM,4483992.0,1386002,262,4,52.62537997671729,39.6,MEDIUM,319
UTTAR PRADESH,CHANDAULI,2026-08-25,44.17,MEDIUM,1952756.0,862532,262,6,32.74964555756624,39.6,MEDIUM,319
BIHAR,BEGUSARAI,2026-08-30,37.66,MEDIUM,2970541.0,1118706,228,2,42.47636607467629,39.59,MEDIUM,320
UTTAR PRADESH,VARANASI,2026-09-10,34.17,MEDIUM,3676841.0,1256377,262,25,47.70362309650934,39.58,MEDIUM,321
BIHAR,PURNIA,2026-09-03,36.11,MEDIUM,3264619.0,1178854,191,1,44.76013720548245,39.57,MEDIUM,322
UTTAR PRADESH,LUCKNOW,2026-09-11,30.48,MEDIUM,4589838.0,1398983,262,24,53.118258094842496,39.54,MEDIUM,323
UTTAR PRADESH,MAHOBA,2026-08-26,53.86,HIGH,875958.0,471791,262,4,17.913524399384293,39.48,MEDIUM,324
UTTAR PRADESH,PRAYAGRAJ,2026-08-31,39.92,MEDIUM,2559297.0,1021671,262,4,38.79202525407087,39.47,MEDIUM,325
UTTAR PRADESH,AGRA,2026-09-06,31.02,MEDIUM,4418797.0,1370711,262,43,52.04479301852821,39.43,MEDIUM,326
BIHAR,MUZAFFARPUR,2026-09-11,29.65,MEDIUM,4801062.0,1423515,237,11,54.04971838248193,39.41,MEDIUM,327
UTTAR PRADESH,BALARAMPUR,2026-08-24,39.86,MEDIUM,2559297.0,1020136,262,4,38.733742540002446,39.41,MEDIUM,327
BIHAR,BHOJPUR,2026-08-31,38.8,MEDIUM,2728407.0,1058622,295,1,40.195024972339446,39.36,MEDIUM,328
WEST BENGAL,BANKURA,2026-09-01,34.33,MEDIUM,3596674.0,1234738,660,5,46.88200768952134,39.35,MEDIUM,329
UTTAR PRADESH,SULTANPUR,2026-09-10,33.42,MEDIUM,3797117.0,1268997,262,5,48.18279433529988,39.33,MEDIUM,330
MAHARASHTRA,THANE,2026-09-07,17.25,LOW,11060148.0,1907876,624,73,72.44051556091512,39.33,MEDIUM,330
UTTAR PRADESH,SONBHADRA,2026-09-01,44.53,MEDIUM,1862559.0,829398,262,4,31.49157425597464,39.31,MEDIUM,331
KERALA,KOLLAM,2026-08-24,39.3,MEDIUM,2635375.0,1035702,288,196,39.32477102677056,39.31,MEDIUM,331
ODISHA,DEOGARH,2026-08-25,46.21,MEDIUM,1648902.0,761958,262,4,28.93093175644736,39.3,MEDIUM,332
UTTAR PRADESH,SULTANPUR,2026-09-09,33.4,MEDIUM,3797117.0,1268237,262,5,48.15393774722692,39.3,MEDIUM,332
UTTAR PRADESH,GONDA,2026-08-25,35.03,MEDIUM,3433919.0,1202902,262,4,45.67322040282279,39.29,MEDIUM,333
WEST BENGAL,EASTMEDNIPUR,2026-09-08,33.07,MEDIUM,3872846.0,1280750,522,9,48.62904628217035,39.29,MEDIUM,333
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-22,46.14,MEDIUM,1648902.0,760803,37,4,28.887077336415416,39.24,MEDIUM,334
WEST BENGAL,BANKURA,2026-08-25,34.23,MEDIUM,3596674.0,1231142,660,5,46.74547046490242,39.24,MEDIUM,334
UTTAR PRADESH,BAREILLY,2026-09-03,30.75,MEDIUM,4448359.0,1367870,262,1,51.93692253600809,39.22,MEDIUM,335
UTTAR PRADESH,AYODHYA,2026-08-25,39.67,MEDIUM,2559297.0,1015273,262,4,38.549098345530304,39.22,MEDIUM,335
KARNATAKA,BIJAAPUR,2026-08-24,45.82,MEDIUM,1681378.0,770407,300,21,29.25173348359009,39.19,MEDIUM,336
ASSAM,BARPETA,2026-08-21,45.72,MEDIUM,1693622.0,774324,273,2,29.40045881975036,39.19,MEDIUM,336
GUJARAT,JAMNAGAR,2026-09-10,42.23,MEDIUM,2160119.0,912218,347,10,34.63618297203113,39.19,MEDIUM,336
UTTAR PRADESH,FATEHPUR,2026-08-26,39.16,MEDIUM,2632733.0,1030978,262,4,39.145404550380185,39.15,MEDIUM,337
PUNJAB,LUDHIANA,2026-08-21,34.58,MEDIUM,3498739.0,1209864,175,143,45.93756193724907,39.12,MEDIUM,338
UTTAR PRADESH,AGRA,2026-08-27,30.75,MEDIUM,4418797.0,1358780,262,43,51.59178255497749,39.09,MEDIUM,339
ODISHA,KORAPUT,2026-08-24,45.95,MEDIUM,1648902.0,757670,262,3,28.768119849004105,39.08,MEDIUM,340
BIHAR,NAWADA,2026-09-01,41.71,MEDIUM,2219146.0,925606,167,1,35.1445145524533,39.08,MEDIUM,340
